onset	duration	trial_type	value	sample
3004.44	0.001	S_1	1	751110
3005.968	0.001	S_16	16	751492
3006.468	0.001	R_1	101	751617
3012.104	0.001	S_2	2	753026
3013.624	0.001	S_8	8	753406
3014.292	0.001	R_1	101	753573
3015.748	0.001	S_2	2	753937
3017.272	0.001	S_16	16	754318
3017.992	0.001	R_2	102	754498
3019.656	0.001	S_2	2	754914
3021.176	0.001	S_8	8	755294
3021.744	0.001	R_2	102	755436
3023.36	0.001	S_2	2	755840
3024.884	0.001	S_16	16	756221
3025.344	0.001	R_2	102	756336
3026.92	0.001	S_2	2	756730
3028.444	0.001	S_16	16	757111
3028.976	0.001	R_1	101	757244
3030.296	0.001	S_1	1	757574
3031.816	0.001	S_8	8	757954
3032.46	0.001	R_1	101	758115
3033.996	0.001	S_2	2	758499
3035.512	0.001	S_16	16	758878
3036.016	0.001	R_1	101	759004
3037.356	0.001	S_1	1	759339
3038.876	0.001	S_8	8	759719
3039.636	0.001	R_1	101	759909
3041.256	0.001	S_1	1	760314
3042.776	0.001	S_8	8	760694
3043.44	0.001	R_1	101	760860
3044.664	0.001	S_2	2	761166
3046.184	0.001	S_16	16	761546
3046.8	0.001	R_1	101	761700
3048.04	0.001	S_2	2	762010
3049.564	0.001	S_8	8	762391
3050.104	0.001	R_1	101	762526
3051.376	0.001	S_2	2	762844
3052.896	0.001	S_16	16	763224
3053.848	0.001	R_2	102	763462
3055.092	0.001	S_2	2	763773
3056.608	0.001	S_16	16	764152
3057.792	0.001	R_1	101	764448
3059.14	0.001	S_2	2	764785
3060.664	0.001	S_16	16	765166
3061.384	0.001	R_1	101	765346
3062.584	0.001	S_1	1	765646
3064.104	0.001	S_8	8	766026
3064.844	0.001	R_1	101	766211
3066.2	0.001	S_2	2	766550
3067.716	0.001	S_16	16	766929
3068.432	0.001	R_1	101	767108
3069.852	0.001	S_2	2	767463
3071.376	0.001	S_16	16	767844
3071.88	0.001	R_2	102	767970
3073.34	0.001	S_2	2	768335
3074.856	0.001	S_16	16	768714
3075.504	0.001	R_1	101	768876
3077.024	0.001	S_2	2	769256
3078.556	0.001	S_8	8	769639
3079.232	0.001	R_1	101	769808
3080.7	0.001	S_2	2	770175
3082.224	0.001	S_16	16	770556
3082.792	0.001	R_1	101	770698
3091.092	0.001	S_1	1	772773
3092.616	0.001	S_8	8	773154
3093.12	0.001	R_1	101	773280
3094.652	0.001	S_2	2	773663
3096.172	0.001	S_16	16	774043
3096.648	0.001	R_1	101	774162
3097.932	0.001	S_1	1	774483
3099.448	0.001	S_16	16	774862
3099.912	0.001	R_2	102	774978
3101.236	0.001	S_2	2	775309
3102.756	0.001	S_16	16	775689
3103.16	0.001	R_1	101	775790
3104.356	0.001	S_2	2	776089
3105.876	0.001	S_16	16	776469
3106.6	0.001	R_1	101	776650
3108.256	0.001	S_1	1	777064
3109.776	0.001	S_8	8	777444
3110.232	0.001	R_1	101	777558
3111.8	0.001	S_2	2	777950
3113.316	0.001	S_8	8	778329
3113.784	0.001	R_1	101	778446
3115.272	0.001	S_2	2	778818
3116.792	0.001	S_16	16	779198
3117.232	0.001	R_1	101	779308
3118.68	0.001	S_1	1	779670
3120.196	0.001	S_8	8	780049
3120.744	0.001	R_1	101	780186
3122.352	0.001	S_1	1	780588
3123.876	0.001	S_16	16	780969
3124.44	0.001	R_2	102	781110
3125.832	0.001	S_1	1	781458
3127.38	0.001	S_8	8	781845
3127.872	0.001	R_1	101	781968
3129.292	0.001	S_2	2	782323
3130.816	0.001	S_8	8	782704
3131.272	0.001	R_2	102	782818
3132.548	0.001	S_1	1	783137
3134.064	0.001	S_8	8	783516
3134.76	0.001	R_2	102	783690
3136.184	0.001	S_2	2	784046
3137.708	0.001	S_16	16	784427
3138.28	0.001	R_1	101	784570
3139.684	0.001	S_1	1	784921
3141.208	0.001	S_8	8	785302
3141.72	0.001	R_1	101	785430
3143.016	0.001	S_1	1	785754
3144.536	0.001	S_16	16	786134
3145.08	0.001	R_1	101	786270
3146.36	0.001	S_1	1	786590
3147.884	0.001	S_8	8	786971
3148.448	0.001	R_1	101	787112
3149.856	0.001	S_1	1	787464
3151.376	0.001	S_8	8	787844
3151.864	0.001	R_2	102	787966
3153.528	0.001	S_1	1	788382
3155.044	0.001	S_8	8	788761
3155.64	0.001	R_1	101	788910
3156.832	0.001	S_2	2	789208
3158.356	0.001	S_16	16	789589
3158.984	0.001	R_1	101	789746
3169.312	0.001	S_1	1	792328
3170.856	0.001	S_8	8	792714
3172.064	0.001	R_1	101	793016
3173.688	0.001	S_2	2	793422
3175.208	0.001	S_16	16	793802
3175.632	0.001	R_1	101	793908
3176.968	0.001	S_1	1	794242
3178.488	0.001	S_8	8	794622
3178.968	0.001	R_1	101	794742
3180.216	0.001	S_1	1	795054
3181.736	0.001	S_8	8	795434
3182.48	0.001	R_2	102	795620
3183.872	0.001	S_1	1	795968
3185.396	0.001	S_8	8	796349
3185.88	0.001	R_1	101	796470
3187.364	0.001	S_2	2	796841
3188.888	0.001	S_16	16	797222
3189.392	0.001	R_1	101	797348
3190.652	0.001	S_2	2	797663
3192.176	0.001	S_16	16	798044
3192.736	0.001	R_1	101	798184
3193.932	0.001	S_2	2	798483
3195.456	0.001	S_16	16	798864
3195.808	0.001	R_2	102	798952
3197.028	0.001	S_2	2	799257
3198.544	0.001	S_16	16	799636
3198.992	0.001	R_1	101	799748
3200.196	0.001	S_1	1	800049
3201.716	0.001	S_8	8	800429
3202.216	0.001	R_1	101	800554
3203.628	0.001	S_2	2	800907
3205.148	0.001	S_16	16	801287
3206.0	0.001	R_2	102	801500
3207.624	0.001	S_2	2	801906
3209.136	0.001	S_16	16	802284
3209.792	0.001	R_1	101	802448
3210.968	0.001	S_1	1	802742
3212.488	0.001	S_16	16	803122
3213.04	0.001	R_2	102	803260
3214.34	0.001	S_1	1	803585
3215.904	0.001	S_16	16	803976
3216.352	0.001	R_2	102	804088
3217.74	0.001	S_2	2	804435
3219.26	0.001	S_8	8	804815
3219.824	0.001	R_2	102	804956
3221.024	0.001	S_2	2	805256
3222.548	0.001	S_8	8	805637
3223.016	0.001	R_1	101	805754
3224.36	0.001	S_1	1	806090
3225.876	0.001	S_8	8	806469
3226.28	0.001	R_1	101	806570
3227.904	0.001	S_1	1	806976
3229.424	0.001	S_16	16	807356
3230.064	0.001	R_2	102	807516
3231.276	0.001	S_1	1	807819
3232.796	0.001	S_8	8	808199
3233.664	0.001	R_2	102	808416
3235.284	0.001	S_1	1	808821
3236.808	0.001	S_8	8	809202
3237.168	0.001	R_1	101	809292
3247.34	0.66	BAD_ACQ_SKIP	90103	811835
