onset	duration	trial_type	value	sample
0.0	0.001		0	0
171.62	0.001		0	42905
481.4	0.001	S_2	2	120350
482.972	0.001	S_16	16	120743
483.94	0.001	R_1	101	120985
485.232	0.001	S_1	1	121308
486.804	0.001	S_8	8	121701
488.492	0.001	R_2	102	122123
490.032	0.001	S_2	2	122508
491.604	0.001	S_8	8	122901
493.524	0.001	R_1	101	123381
495.16	0.001	S_2	2	123790
496.732	0.001	S_16	16	124183
498.644	0.001	R_1	101	124661
500.028	0.001	S_1	1	125007
501.592	0.001	S_16	16	125398
502.892	0.001	R_1	101	125723
504.24	0.001	S_2	2	126060
505.808	0.001	S_16	16	126452
507.972	0.001	R_1	101	126993
509.44	0.001	S_1	1	127360
511.004	0.001	S_8	8	127751
512.98	0.001	R_1	101	128245
514.564	0.001	S_2	2	128641
516.14	0.001	S_16	16	129035
518.836	0.001	R_1	101	129709
520.396	0.001	S_2	2	130099
521.964	0.001	S_16	16	130491
524.492	0.001	R_2	102	131123
525.976	0.001	S_1	1	131494
527.544	0.001	S_8	8	131886
528.756	0.001	R_2	102	132189
530.272	0.001	S_2	2	132568
531.844	0.001	S_16	16	132961
533.788	0.001	R_2	102	133447
535.12	0.001	S_1	1	133780
536.684	0.001	S_16	16	134171
540.848	0.001	S_2	2	135212
542.416	0.001	S_16	16	135604
544.996	0.001	R_2	102	136249
546.432	0.001	S_1	1	136608
547.992	0.001	S_8	8	136998
552.264	0.001	S_2	2	138066
553.832	0.001	S_8	8	138458
555.636	0.001	R_1	101	138909
556.928	0.001	S_2	2	139232
558.496	0.001	S_16	16	139624
560.58	0.001	R_1	101	140145
562.08	0.001	S_1	1	140520
563.688	0.001	S_8	8	140922
565.644	0.001	R_1	101	141411
566.852	0.001	S_2	2	141713
568.428	0.001	S_8	8	142107
572.84	0.001	S_2	2	143210
574.416	0.001	S_16	16	143604
578.708	0.001	S_2	2	144677
580.276	0.001	S_16	16	145069
707.08	0.001	S_1	1	176770
708.644	0.001	S_16	16	177161
709.72	0.001	R_1	101	177430
711.092	0.001	S_1	1	177773
712.656	0.001	S_16	16	178164
713.472	0.001	R_1	101	178368
714.872	0.001	S_2	2	178718
716.436	0.001	S_16	16	179109
717.68	0.001	R_1	101	179420
718.904	0.001	S_2	2	179726
720.476	0.001	S_16	16	180119
721.144	0.001	R_1	101	180286
722.324	0.001	S_2	2	180581
723.896	0.001	S_16	16	180974
725.328	0.001	R_2	102	181332
726.712	0.001	S_2	2	181678
728.28	0.001	S_16	16	182070
728.928	0.001	R_1	101	182232
730.336	0.001	S_1	1	182584
731.908	0.001	S_8	8	182977
732.936	0.001	R_1	101	183234
734.352	0.001	S_1	1	183588
735.92	0.001	S_8	8	183980
736.816	0.001	R_2	102	184204
738.052	0.001	S_1	1	184513
739.62	0.001	S_8	8	184905
740.608	0.001	R_2	102	185152
741.784	0.001	S_2	2	185446
743.36	0.001	S_8	8	185840
744.056	0.001	R_1	101	186014
745.656	0.001	S_2	2	186414
747.228	0.001	S_16	16	186807
748.496	0.001	R_1	101	187124
750.0	0.001	S_1	1	187500
751.568	0.001	S_16	16	187892
753.28	0.001	R_1	101	188320
754.536	0.001	S_1	1	188634
756.108	0.001	S_8	8	189027
757.08	0.001	R_1	101	189270
758.252	0.001	S_2	2	189563
759.82	0.001	S_8	8	189955
761.016	0.001	R_1	101	190254
762.2	0.001	S_1	1	190550
763.768	0.001	S_8	8	190942
765.496	0.001	R_1	101	191374
766.788	0.001	S_1	1	191697
768.36	0.001	S_8	8	192090
769.208	0.001	R_2	102	192302
770.548	0.001	S_2	2	192637
772.116	0.001	S_8	8	193029
772.872	0.001	R_1	101	193218
774.428	0.001	S_2	2	193607
776.0	0.001	S_8	8	194000
777.256	0.001	R_1	101	194314
778.56	0.001	S_1	1	194640
780.128	0.001	S_8	8	195032
781.52	0.001	R_2	102	195380
782.856	0.001	S_2	2	195714
784.428	0.001	S_16	16	196107
785.296	0.001	R_2	102	196324
924.372	0.001	S_1	1	231093
925.94	0.001	S_16	16	231485
927.056	0.001	R_1	101	231764
928.488	0.001	S_1	1	232122
930.06	0.001	S_8	8	232515
931.72	0.001	R_2	102	232930
933.268	0.001	S_2	2	233317
934.844	0.001	S_16	16	233711
936.276	0.001	R_1	101	234069
937.52	0.001	S_2	2	234380
939.092	0.001	S_16	16	234773
940.404	0.001	R_1	101	235101
942.052	0.001	S_2	2	235513
943.624	0.001	S_16	16	235906
944.876	0.001	R_1	101	236219
946.348	0.001	S_1	1	236587
947.92	0.001	S_8	8	236980
949.036	0.001	R_1	101	237259
950.544	0.001	S_2	2	237636
952.12	0.001	S_8	8	238030
953.012	0.001	R_2	102	238253
954.58	0.001	S_1	1	238645
956.152	0.001	S_8	8	239038
957.38	0.001	R_2	102	239345
958.584	0.001	S_1	1	239646
960.152	0.001	S_8	8	240038
961.928	0.001	R_1	101	240482
963.344	0.001	S_2	2	240836
964.912	0.001	S_16	16	241228
966.916	0.001	R_2	102	241729
968.464	0.001	S_2	2	242116
970.044	0.001	S_8	8	242511
971.588	0.001	R_2	102	242897
973.24	0.001	S_1	1	243310
974.808	0.001	S_8	8	243702
976.308	0.001	R_2	102	244077
977.904	0.001	S_2	2	244476
979.48	0.001	S_16	16	244870
981.396	0.001	R_2	102	245349
982.888	0.001	S_2	2	245722
984.448	0.001	S_16	16	246112
985.804	0.001	R_2	102	246451
986.984	0.001	S_2	2	246746
988.552	0.001	S_16	16	247138
989.804	0.001	R_2	102	247451
991.008	0.001	S_1	1	247752
992.584	0.001	S_16	16	248146
994.572	0.001	R_1	101	248643
996.156	0.001	S_1	1	249039
997.72	0.001	S_16	16	249430
999.34	0.001	R_2	102	249835
1000.828	0.001	S_2	2	250207
1002.4	0.001	S_16	16	250600
1004.3	0.001	R_1	101	251075
1005.52	0.001	S_1	1	251380
1007.092	0.001	S_8	8	251773
1007.796	0.001	R_1	101	251949
1009.184	0.001	S_1	1	252296
1010.752	0.001	S_8	8	252688
1012.124	0.001	R_1	101	253031
1066.592	0.001	S_2	2	266648
