onset	duration	trial_type	value	sample
0.0	0.001		0	0
411.996	0.001	S_1	1	102999
413.564	0.001	S_8	8	103391
414.208	0.001	R_2	102	103552
415.5	0.001	S_2	2	103875
417.076	0.001	S_8	8	104269
417.592	0.001	R_1	101	104398
418.82	0.001	S_2	2	104705
420.396	0.001	S_16	16	105099
420.968	0.001	R_1	101	105242
422.404	0.001	S_2	2	105601
423.976	0.001	S_16	16	105994
424.504	0.001	R_1	101	106126
426.112	0.001	S_2	2	106528
427.688	0.001	S_16	16	106922
428.36	0.001	R_1	101	107090
429.748	0.001	S_1	1	107437
431.316	0.001	S_16	16	107829
432.2	0.001	R_1	101	108050
433.756	0.001	S_2	2	108439
435.328	0.001	S_16	16	108832
436.056	0.001	R_1	101	109014
437.704	0.001	S_2	2	109426
439.296	0.001	S_16	16	109824
439.808	0.001	R_1	101	109952
441.048	0.001	S_2	2	110262
442.616	0.001	S_16	16	110654
443.12	0.001	R_1	101	110780
444.576	0.001	S_1	1	111144
446.148	0.001	S_8	8	111537
446.688	0.001	R_2	102	111672
448.312	0.001	S_2	2	112078
449.888	0.001	S_8	8	112472
450.568	0.001	R_2	102	112642
452.16	0.001	S_2	2	113040
453.724	0.001	S_16	16	113431
454.712	0.001	R_1	101	113678
456.172	0.001	S_2	2	114043
457.744	0.001	S_16	16	114436
458.52	0.001	R_1	101	114630
459.968	0.001	S_2	2	114992
461.548	0.001	S_8	8	115387
462.088	0.001	R_1	101	115522
463.6	0.001	S_2	2	115900
465.176	0.001	S_8	8	116294
466.064	0.001	R_2	102	116516
467.552	0.001	S_1	1	116888
469.116	0.001	S_8	8	117279
469.968	0.001	R_1	101	117492
471.616	0.001	S_1	1	117904
473.188	0.001	S_8	8	118297
473.872	0.001	R_1	101	118468
475.216	0.001	S_2	2	118804
476.784	0.001	S_16	16	119196
477.44	0.001	R_1	101	119360
478.656	0.001	S_1	1	119664
480.228	0.001	S_16	16	120057
482.348	0.001	R_1	101	120587
483.56	0.001	S_2	2	120890
485.128	0.001	S_16	16	121282
486.128	0.001	R_1	101	121532
498.392	0.001	S_1	1	124598
499.964	0.001	S_8	8	124991
500.76	0.001	R_2	102	125190
501.98	0.001	S_1	1	125495
503.548	0.001	S_8	8	125887
504.0	0.001	R_2	102	126000
505.624	0.001	S_2	2	126406
507.188	0.001	S_16	16	126797
507.804	0.001	R_1	101	126951
509.192	0.001	S_1	1	127298
510.76	0.001	S_16	16	127690
511.524	0.001	R_1	101	127881
513.128	0.001	S_1	1	128282
514.696	0.001	S_8	8	128674
515.788	0.001	R_1	101	128947
517.32	0.001	S_2	2	129330
518.884	0.001	S_16	16	129721
519.372	0.001	R_1	101	129843
520.788	0.001	S_1	1	130197
522.356	0.001	S_8	8	130589
522.996	0.001	R_1	101	130749
524.528	0.001	S_1	1	131132
526.096	0.001	S_8	8	131524
526.948	0.001	R_1	101	131737
528.544	0.001	S_2	2	132136
530.112	0.001	S_16	16	132528
530.596	0.001	R_1	101	132649
532.108	0.001	S_2	2	133027
533.68	0.001	S_16	16	133420
534.324	0.001	R_1	101	133581
535.84	0.001	S_2	2	133960
537.408	0.001	S_16	16	134352
538.028	0.001	R_1	101	134507
539.216	0.001	S_2	2	134804
540.784	0.001	S_8	8	135196
541.948	0.001	R_1	101	135487
543.608	0.001	S_2	2	135902
545.176	0.001	S_16	16	136294
545.692	0.001	R_1	101	136423
546.972	0.001	S_1	1	136743
548.54	0.001	S_8	8	137135
549.236	0.001	R_1	101	137309
550.8	0.001	S_1	1	137700
552.368	0.001	S_8	8	138092
553.34	0.001	R_1	101	138335
554.632	0.001	S_2	2	138658
556.196	0.001	S_16	16	139049
556.916	0.001	R_1	101	139229
558.472	0.001	S_1	1	139618
560.036	0.001	S_16	16	140009
560.572	0.001	R_1	101	140143
561.952	0.001	S_2	2	140488
563.52	0.001	S_8	8	140880
565.524	0.001	R_2	102	141381
567.14	0.001	S_1	1	141785
568.704	0.001	S_8	8	142176
569.268	0.001	R_2	102	142317
570.652	0.001	S_1	1	142663
572.232	0.001	S_8	8	143058
573.404	0.001	R_1	101	143351
593.224	0.001	S_1	1	148306
594.796	0.001	S_8	8	148699
596.008	0.001	R_2	102	149002
597.352	0.001	S_2	2	149338
598.916	0.001	S_16	16	149729
599.468	0.001	R_1	101	149867
600.8	0.001	S_2	2	150200
602.384	0.001	S_16	16	150596
602.968	0.001	R_2	102	150742
604.536	0.001	S_1	1	151134
606.104	0.001	S_16	16	151526
606.92	0.001	R_2	102	151730
608.504	0.001	S_2	2	152126
610.076	0.001	S_8	8	152519
610.8	0.001	R_1	101	152700
611.988	0.001	S_1	1	152997
613.56	0.001	S_8	8	153390
614.168	0.001	R_1	101	153542
615.576	0.001	S_2	2	153894
617.152	0.001	S_16	16	154288
617.92	0.001	R_1	101	154480
619.36	0.001	S_1	1	154840
620.928	0.001	S_8	8	155232
621.6	0.001	R_1	101	155400
623.084	0.001	S_2	2	155771
624.648	0.001	S_16	16	156162
625.136	0.001	R_1	101	156284
626.72	0.001	S_2	2	156680
628.288	0.001	S_8	8	157072
628.864	0.001	R_2	102	157216
630.488	0.001	S_2	2	157622
632.06	0.001	S_16	16	158015
633.112	0.001	R_1	101	158278
634.684	0.001	S_1	1	158671
636.252	0.001	S_8	8	159063
637.176	0.001	R_1	101	159294
638.752	0.001	S_2	2	159688
640.32	0.001	S_8	8	160080
641.192	0.001	R_2	102	160298
642.616	0.001	S_1	1	160654
644.188	0.001	S_8	8	161047
644.928	0.001	R_2	102	161232
646.196	0.001	S_2	2	161549
647.768	0.001	S_16	16	161942
648.368	0.001	R_1	101	162092
649.736	0.001	S_2	2	162434
651.312	0.001	S_8	8	162828
651.904	0.001	R_1	101	162976
653.164	0.001	S_2	2	163291
654.732	0.001	S_16	16	163683
655.28	0.001	R_1	101	163820
656.776	0.001	S_2	2	164194
658.352	0.001	S_8	8	164588
659.064	0.001	R_2	102	164766
660.48	0.001	S_1	1	165120
662.048	0.001	S_8	8	165512
663.2	0.001	R_2	102	165800
664.632	0.001	S_2	2	166158
666.2	0.001	S_8	8	166550
666.856	0.001	R_1	101	166714
678.536	0.001	S_2	2	169634
680.108	0.001	S_16	16	170027
680.672	0.001	R_1	101	170168
682.032	0.001	S_1	1	170508
683.6	0.001	S_8	8	170900
684.376	0.001	R_1	101	171094
686.008	0.001	S_1	1	171502
687.576	0.001	S_8	8	171894
688.128	0.001	R_1	101	172032
689.34	0.001	S_1	1	172335
690.912	0.001	S_8	8	172728
691.864	0.001	R_2	102	172966
693.484	0.001	S_2	2	173371
695.064	0.001	S_8	8	173766
695.608	0.001	R_1	101	173902
696.94	0.001	S_2	2	174235
698.508	0.001	S_16	16	174627
699.2	0.001	R_1	101	174800
700.68	0.001	S_1	1	175170
702.248	0.001	S_8	8	175562
702.888	0.001	R_1	101	175722
704.156	0.001	S_1	1	176039
705.728	0.001	S_8	8	176432
706.776	0.001	R_2	102	176694
708.18	0.001	S_2	2	177045
709.748	0.001	S_16	16	177437
710.36	0.001	R_1	101	177590
711.884	0.001	S_1	1	177971
713.448	0.001	S_8	8	178362
714.064	0.001	R_1	101	178516
715.408	0.001	S_1	1	178852
716.98	0.001	S_8	8	179245
717.864	0.001	R_1	101	179466
719.52	0.001	S_1	1	179880
721.088	0.001	S_16	16	180272
721.728	0.001	R_1	101	180432
723.388	0.001	S_2	2	180847
724.96	0.001	S_16	16	181240
725.688	0.001	R_1	101	181422
727.132	0.001	S_2	2	181783
728.7	0.001	S_16	16	182175
729.232	0.001	R_1	101	182308
730.808	0.001	S_1	1	182702
732.384	0.001	S_16	16	183096
732.984	0.001	R_1	101	183246
734.428	0.001	S_1	1	183607
736.0	0.001	S_8	8	184000
736.836	0.001	R_2	102	184209
738.312	0.001	S_2	2	184578
739.88	0.001	S_16	16	184970
740.492	0.001	R_1	101	185123
742.136	0.001	S_2	2	185534
743.728	0.001	S_16	16	185932
744.292	0.001	R_1	101	186073
745.688	0.001	S_1	1	186422
747.264	0.001	S_16	16	186816
747.78	0.001	R_1	101	186945
749.332	0.001	S_2	2	187333
750.9	0.001	S_16	16	187725
751.472	0.001	R_1	101	187868
769.848	0.001	S_1	1	192462
771.42	0.001	S_8	8	192855
771.988	0.001	R_2	102	192997
773.624	0.001	S_1	1	193406
775.192	0.001	S_8	8	193798
775.796	0.001	R_1	101	193949
777.348	0.001	S_2	2	194337
