participant,exp,Peak #,CF_Hz,PW_log10,PW_dB,BW_Hz,Aperiodic_Offset,Aperiodic_Exponent,R_squared,Error,channels,Channels_Validity
sub-001,base,1,11.637149,0.489311,4.893112,4.878778,-9.161917,2.423156,0.993301,0.043756,O1,True
sub-001,base,2,19.883025,0.134976,1.349756,8.0,-9.161917,2.423156,0.993301,0.043756,O1,True
sub-001,base,1,11.736772,0.53459,5.3459,4.205695,-9.148929,2.462194,0.996304,0.031712,Oz,True
sub-001,base,2,16.930893,0.18004,1.800398,6.695509,-9.148929,2.462194,0.996304,0.031712,Oz,True
sub-001,base,3,23.539031,0.173181,1.731811,2.330264,-9.148929,2.462194,0.996304,0.031712,Oz,True
sub-001,base,1,11.94842,0.599003,5.990032,4.331988,-9.157999,2.421697,0.99519,0.038237,O2,True
sub-001,base,2,20.914284,0.135088,1.350879,5.95682,-9.157999,2.421697,0.99519,0.038237,O2,True
sub-001,base,1,8.952295,0.234453,2.344529,1.4,-9.431408,2.320475,0.995688,0.032349,P4,True
sub-001,base,2,12.049152,0.474126,4.741256,2.771412,-9.431408,2.320475,0.995688,0.032349,P4,True
sub-001,base,3,18.196364,0.135801,1.358006,7.267305,-9.431408,2.320475,0.995688,0.032349,P4,True
sub-001,base,1,8.831875,0.210162,2.101622,1.4,-9.157734,2.380754,0.995115,0.03826,P8,True
sub-001,base,2,12.015456,0.572493,5.724928,3.969982,-9.157734,2.380754,0.995115,0.03826,P8,True
sub-001,base,1,11.595722,0.393105,3.931047,2.87696,-9.140262,2.414388,0.996937,0.025062,TP10,True
sub-001,base,2,15.094846,0.153526,1.535261,1.4,-9.140262,2.414388,0.996937,0.025062,TP10,True
sub-001,base,3,18.586464,0.079919,0.799189,2.514565,-9.140262,2.414388,0.996937,0.025062,TP10,True
sub-001,base,4,32.622286,0.162232,1.622319,1.4,-9.140262,2.414388,0.996937,0.025062,TP10,True
sub-001,base,5,39.893617,0.183158,1.831585,7.230947,-9.140262,2.414388,0.996937,0.025062,TP10,True
sub-001,base,1,12.098029,0.320146,3.201459,2.080728,-9.525448,2.1756,0.993586,0.033717,CP6,True
sub-001,base,2,30.366099,0.081145,0.811449,1.4,-9.525448,2.1756,0.993586,0.033717,CP6,True
sub-001,base,3,32.633837,0.04643,0.464303,1.4,-9.525448,2.1756,0.993586,0.033717,CP6,True
sub-001,base,4,34.437464,0.122753,1.227533,1.4,-9.525448,2.1756,0.993586,0.033717,CP6,True
sub-001,base,5,38.651777,0.26445,2.644496,2.105876,-9.525448,2.1756,0.993586,0.033717,CP6,True
sub-001,base,1,8.726103,0.126041,1.260408,1.4,-9.700164,2.312621,0.994816,0.026781,CP2,True
sub-001,base,2,12.183247,0.242119,2.421194,1.548008,-9.700164,2.312621,0.994816,0.026781,CP2,True
sub-001,base,3,16.09997,0.144778,1.447778,2.723063,-9.700164,2.312621,0.994816,0.026781,CP2,True
sub-001,base,4,19.00692,0.127879,1.278794,1.4,-9.700164,2.312621,0.994816,0.026781,CP2,True
sub-001,base,5,20.929706,0.098618,0.98618,1.4,-9.700164,2.312621,0.994816,0.026781,CP2,True
sub-001,base,1,6.403248,0.371737,3.717369,2.709309,-11.021183,1.68463,0.996022,0.021641,Cz,True
sub-001,base,2,17.551608,0.114866,1.148661,2.920494,-11.021183,1.68463,0.996022,0.021641,Cz,True
sub-001,base,3,29.171181,0.085361,0.853613,1.4,-11.021183,1.68463,0.996022,0.021641,Cz,True
sub-001,base,4,32.196065,0.204455,2.044547,2.009748,-11.021183,1.68463,0.996022,0.021641,Cz,True
sub-001,base,5,37.156418,0.064603,0.646031,3.823738,-11.021183,1.68463,0.996022,0.021641,Cz,True
sub-001,base,1,6.66714,0.139463,1.394626,1.4,-9.918153,2.113827,0.99635,0.025934,C4,True
sub-001,base,2,12.272353,0.305057,3.050575,1.419311,-9.918153,2.113827,0.99635,0.025934,C4,True
sub-001,base,3,17.262689,0.149872,1.49872,5.407634,-9.918153,2.113827,0.99635,0.025934,C4,True
sub-001,base,1,11.496798,0.242344,2.423436,2.297571,-9.667569,1.972591,0.983015,0.048975,T8,True
sub-001,base,1,11.101509,0.251551,2.515506,2.1155,-9.329735,2.295591,0.994722,0.031927,FT10,True
sub-001,base,2,14.941673,0.067874,0.678737,1.4,-9.329735,2.295591,0.994722,0.031927,FT10,True
sub-001,base,3,18.195109,0.045369,0.453692,1.4,-9.329735,2.295591,0.994722,0.031927,FT10,True
sub-001,base,4,36.632933,0.104995,1.049953,8.0,-9.329735,2.295591,0.994722,0.031927,FT10,True
sub-001,base,1,11.061378,0.1118,1.118003,2.071385,-10.319242,1.524646,0.948723,0.053356,FC6,True
sub-001,base,2,21.218838,0.091239,0.912391,3.23206,-10.319242,1.524646,0.948723,0.053356,FC6,True
sub-001,base,3,29.814894,0.044705,0.447046,1.4,-10.319242,1.524646,0.948723,0.053356,FC6,True
sub-001,base,4,36.009574,0.196515,1.965154,7.076091,-10.319242,1.524646,0.948723,0.053356,FC6,True
sub-001,base,1,6.357583,0.415785,4.157848,1.925566,-11.53205,1.265518,0.989293,0.030362,FC2,True
sub-001,base,2,18.845625,0.149551,1.49551,3.192508,-11.53205,1.265518,0.989293,0.030362,FC2,True
sub-001,base,3,21.509301,0.160068,1.600679,1.4,-11.53205,1.265518,0.989293,0.030362,FC2,True
sub-001,base,4,23.328067,0.09009,0.900903,1.4,-11.53205,1.265518,0.989293,0.030362,FC2,True
sub-001,base,1,18.614993,0.209615,2.096146,1.576361,-11.174707,0.963159,,0.068435,F4,False
sub-001,base,2,22.350215,0.200903,2.009027,3.649402,-11.174707,0.963159,,0.068435,F4,False
sub-001,base,3,31.799342,0.136127,1.36127,3.449517,-11.174707,0.963159,,0.068435,F4,False
sub-001,base,4,34.676253,0.167088,1.670883,1.4,-11.174707,0.963159,,0.068435,F4,False
sub-001,base,5,37.736176,0.192069,1.920688,2.703745,-11.174707,0.963159,,0.068435,F4,False
sub-001,base,1,10.382685,0.184079,1.84079,1.4,-9.755404,2.003224,0.988747,0.037371,F8,True
sub-001,base,2,11.544638,0.128175,1.281751,1.4,-9.755404,2.003224,0.988747,0.037371,F8,True
sub-001,base,3,19.76995,0.066666,0.666664,3.66705,-9.755404,2.003224,0.988747,0.037371,F8,True
sub-001,base,4,36.538663,0.16969,1.6969,8.0,-9.755404,2.003224,0.988747,0.037371,F8,True
sub-001,base,1,10.756943,0.207378,2.073783,1.741747,-10.194033,1.832854,0.98361,0.041104,Fp2,True
sub-001,base,2,32.448185,0.119532,1.195323,2.67668,-10.194033,1.832854,0.98361,0.041104,Fp2,True
sub-001,base,3,34.655399,0.22802,2.280199,1.4,-10.194033,1.832854,0.98361,0.041104,Fp2,True
sub-001,base,4,38.715015,0.261826,2.618258,3.83513,-10.194033,1.832854,0.98361,0.041104,Fp2,True
sub-001,lowlevel,1,9.420034,0.242719,2.427186,2.828377,-10.102183,1.922103,0.987685,0.045739,Fp1,True
sub-001,lowlevel,2,13.372997,0.155543,1.555427,1.4,-10.102183,1.922103,0.987685,0.045739,Fp1,True
sub-001,lowlevel,3,19.192958,0.076755,0.767546,4.851077,-10.102183,1.922103,0.987685,0.045739,Fp1,True
sub-001,lowlevel,1,20.922192,0.415717,4.157172,6.393939,-12.704778,,,0.093967,Fz,False
sub-001,lowlevel,1,6.697295,0.582149,5.821488,3.500085,-12.157983,0.061291,0.928906,0.044796,F3,True
sub-001,lowlevel,2,21.338595,0.417693,4.176925,5.195323,-12.157983,0.061291,0.928906,0.044796,F3,True
sub-001,lowlevel,3,39.33138,0.172242,1.722419,4.521415,-12.157983,0.061291,0.928906,0.044796,F3,True
sub-001,lowlevel,1,7.737382,0.219893,2.198933,2.8553,-10.076566,1.64315,0.98891,0.033434,F7,True
sub-001,lowlevel,2,9.848151,0.213023,2.130232,1.4,-10.076566,1.64315,0.98891,0.033434,F7,True
