participant,exp,accuracy,mean_rt,c,dprime,hits,fas,misses,cr,drift,noise,B,x0,nondectime,bic,mean_rt_incong,median_rt_incong,std_rt_incong,mean_rt_cong,median_rt_cong,std_rt_cong,drift_rec,B_rec,x0_rec,bic_rec,mean_rt_cong_rec,median_rt_cong_rec,std_rt_cong_rec,mean_rt_incong_rec,median_rt_incong_rec,std_rt_incong_rec
sub-001,base,0.66,0.657,0.2018,0.8366,41,19,29,52,-4.9,1.0,0.75,0.07,0.2,202.06,0.628238622222269,0.5864160000000993,0.13359743493000642,0.6962769016667578,0.6777964000002612,0.14946711600969936,-5.96,0.73,0.05,263.93,0.6653255189829327,0.5241215473153715,0.4048606623809435,0.7619947385261189,0.5986793842331757,0.48682050420352796
sub-001,lowlevel,0.638,0.587,-0.029,0.6775,74,14,41,23,4.43,1.0,0.68,-0.04,0.2,168.04,0.6259042453125792,0.6049628500004474,0.13348676837261356,0.5582213113637061,0.5542165500010015,0.09752307471476038,7.63,0.7,-0.17,258.13,0.7160624878781541,0.6114124885937419,0.3619060185982069,0.6279371193368725,0.49171919778765094,0.4200595854640494
sub-001,highlevel,0.611,0.601,0.1049,0.5788,47,26,35,49,-2.36,1.0,0.7,0.06,0.2,188.41,0.624105148809597,0.6034708999995928,0.11823555447634342,0.5747666876713422,0.5487549999998009,0.11451617590657973,-2.32,0.77,0.02,362.25,0.7950388349270294,0.6264613220190403,0.5188492669525949,0.8101037743642929,0.7193428163505962,0.4722090217568376
sub-002,base,0.643,1.394,0.1015,0.7389,43,22,28,47,-1.19,1.0,1.18,0.05,0.2,475.3,1.4209586173333204,1.4908360999997967,0.4861817658328524,1.3637799769230277,1.254240999999638,0.43666891325733154,-0.39,1.19,0.06,489.02,1.2685276917060428,1.0393087739181623,0.69787051088931,1.3682791453920258,1.3060260004072108,0.6163887234017394
sub-002,lowlevel,0.612,1.434,0.1791,0.7517,63,11,46,27,-0.04,1.0,1.2,0.0,0.2,507.87,1.4337518178081778,1.4223256999994192,0.42613744233992834,1.434156875675669,1.3941760500001692,0.46178041364447214,-1.17,1.17,0.1,528.94,1.2142106812268718,1.0951893811992894,0.6325259823615126,1.5305690924358353,1.5095953896744603,0.6823072324054481
sub-002,highlevel,0.705,0.975,-0.0854,1.0802,58,25,21,52,0.88,1.0,0.92,-0.02,0.2,406.15,0.9921911739726454,0.8212112999990495,0.48507138246825665,0.9604388168672484,0.8427632000002632,0.4438660845496521,-0.29,0.9,-0.0,453.24,1.0130980753163785,0.8225050975481953,0.6009415843132899,1.0073592452702353,0.8730654207762916,0.5841757467436006
sub-003,base,0.819,0.606,0.8866,2.5826,46,1,24,67,-2.36,1.0,0.71,0.01,0.2,163.19,0.5818738362637028,0.5321253999991313,0.16682475312012887,0.6538192510639729,0.6225641000000905,0.17297057429451462,-0.75,0.71,0.03,261.57,0.6715086207065671,0.5524656796057826,0.34358463998817085,0.7475763978272602,0.5925757750711087,0.4719284249624692
sub-003,lowlevel,0.8,0.714,-0.0374,1.645,95,8,23,29,4.27,1.0,0.81,-0.13,0.2,234.32,0.7443556288461347,0.7162480000002603,0.2221092826080337,0.6982912533980504,0.6519600999999966,0.18897736947532445,3.44,0.78,-0.13,327.08,0.8169253348853358,0.6492169948655628,0.4906334790107673,0.7881349420718144,0.6168343314833784,0.5012027987448109
sub-003,highlevel,0.825,0.706,-0.0129,1.8712,58,13,12,60,0.01,1.0,0.78,-0.0,0.2,240.37,0.6890338569444441,0.6427894499999002,0.19504341139968492,0.7222305985915607,0.6399682999999641,0.1883284239613846,0.85,0.77,-0.01,344.75,0.8522440303269273,0.6897337002592053,0.5687273283711822,0.8308133741661182,0.5951350546429488,0.5568088232973385
